Country,Total Number of COVID Deaths,Population
Afghanistan,7896,40218234
Algeria,6881,44700000
Angola,1933,32866268
Argentina,130472,45376763
Australia,19574,25687041
Austria,21970,8917205
Azerbaijan,10138,10110116
Bangladesh,29445,164689383
Belarus,7118,9398861
Belgium,33814,11555997
Benin,163,12123198
Bolivia,22365,11673029
Brazil,699276,212559409
Burkina Faso,396,20903278
Burundi,38,11890781
Cambodia,3056,16718971
Cameroon,1965,26545864
Canada,51720,38005238
Chad,194,16425859
Chile,64273,19116209
China,101056,1402112000
Colombia,142339,50882884
Cuba,8530,11326616
Czechia,42491,10698896
Dominican Republic,4384,10847904
Ecuador,36014,17643060
Egypt,24812,102334403
Ethiopia,7572,114963583
France,166176,67391582
Germany,168935,83240525
Ghana,1462,31072945
Greece,34779,10715549
Guatemala,20182,16858333
Guinea,467,13132792
Haiti,860,11402533
Honduras,11111,9904608
Hungary,48762,9749763
India,530779,1380004385
Indonesia,160941,273523621
Iran,144933,83992953
Iraq,25375,40222503
Israel,12329,9216900
Italy,188322,59554023
Japan,72997,125836021
Jordan,14122,10203140
Kazakhstan,19071,18754440
Kenya,5688,53771300
Madagascar,1423,27691019
Malawi,2686,19129955
Malaysia,36967,32365998
Mali,743,20250834
Mexico,333188,128932753
Morocco,16296,36910558
Mozambique,2242,31255435
Nepal,12020,29136808
Netherlands,23707,16655799
Niger,315,24206636
Nigeria,3155,206139587
Pakistan,30644,220892331
Papua New Guinea,670,8947027
Peru,219539,32971846
Philippines,66188,109581085
Poland,119010,37950802
Portugal,26266,10305564
Romania,67736,19286123
Russia,388478,144104080
Rwanda,1468,12952209
Saudi Arabia,9618,34813867
Senegal,1971,16743930
Somalia,1361,15893219
South Africa,102595,59308690
South Sudan,138,11193729
Spain,119479,47351567
Sri Lanka,16830,21919000
Sudan,5017,43849269
Sweden,23777,10353442
Switzerland,14210,8654622
Syria,3164,17500657
Tajikistan,125,9537642
Tanzania,846,59734213
Thailand,33918,69799978
Tunisia,29341,11818618
Turkey,101492,84339067
Uganda,3630,45741000
Ukraine,119283,44134693
United Arab Emirates,2349,9890400
United Kingdom,220721,67215293
Uzbekistan,1637,34232050
Venezuela,5854,28435943
Vietnam,43186,97338583
Yemen,2159,29825968
Zambia,4057,18383956
Zimbabwe,5671,14862927
